PERMNO,date,TICKER,DIVAMT,FACPR,PRC,RET,CFACPR,sprtrn
89393,20160324,NFLX,,,98.36000,-0.012351,1,-0.000378
89393,20160328,NFLX,,,101.21000,0.028975,1,0.000545
89393,20160329,NFLX,,,104.13000,0.028851,1,0.008817
89393,20160330,NFLX,,,102.19000,-0.018631,1,0.004350
89393,20160331,NFLX,,,102.23000,0.000391,1,-0.002040
89393,20160401,NFLX,,,105.70000,0.033943,1,0.006331
89393,20160404,NFLX,,,104.35000,-0.012772,1,-0.003208
89393,20160405,NFLX,,,104.94000,0.005654,1,-0.010145
89393,20160406,NFLX,,,104.83000,-0.001048,1,0.010508
89393,20160407,NFLX,,,104.45000,-0.003625,1,-0.011976
89393,20160408,NFLX,,,103.81000,-0.006127,1,0.002787
89393,20160411,NFLX,,,102.68000,-0.010885,1,-0.002740
89393,20160412,NFLX,,,106.98000,0.041878,1,0.009662
89393,20160413,NFLX,,,109.65000,0.024958,1,0.010040
89393,20160414,NFLX,,,110.42000,0.007022,1,0.000173
89393,20160415,NFLX,,,111.51000,0.009871,1,-0.000984
89393,20160418,NFLX,,,108.40000,-0.027890,1,0.006541
89393,20160419,NFLX,,,94.34000,-0.129705,1,0.003085
89393,20160420,NFLX,,,96.77000,0.025758,1,0.000762
89393,20160421,NFLX,,,94.98000,-0.018497,1,-0.005194
89393,20160422,NFLX,,,95.90000,0.009686,1,0.000048
89393,20160425,NFLX,,,93.56000,-0.024400,1,-0.001812
89393,20160426,NFLX,,,92.43000,-0.012078,1,0.001873
89393,20160427,NFLX,,,91.04000,-0.015038,1,0.001649
89393,20160428,NFLX,,,90.28000,-0.008348,1,-0.009231
89393,20160429,NFLX,,,90.03000,-0.002769,1,-0.005063
89393,20160502,NFLX,,,93.11000,0.034211,1,0.007810
89393,20160503,NFLX,,,91.54000,-0.016862,1,-0.008677
89393,20160504,NFLX,,,90.79000,-0.008193,1,-0.005937
89393,20160505,NFLX,,,89.37000,-0.015640,1,-0.000239
89393,20160506,NFLX,,,90.84000,0.016448,1,0.003175
89393,20160509,NFLX,,,90.54000,-0.003302,1,0.000753
89393,20160510,NFLX,,,92.89000,0.025955,1,0.012484
89393,20160511,NFLX,,,90.02000,-0.030897,1,-0.009562
89393,20160512,NFLX,,,87.74000,-0.025328,1,-0.000170
89393,20160513,NFLX,,,87.88000,0.001596,1,-0.008478
89393,20160516,NFLX,,,89.12000,0.014110,1,0.009797
89393,20160517,NFLX,,,88.63000,-0.005498,1,-0.009411
89393,20160518,NFLX,,,90.50000,0.021099,1,0.000205
89393,20160519,NFLX,,,89.55000,-0.010497,1,-0.003707
89393,20160520,NFLX,,,92.49000,0.032831,1,0.006019
89393,20160523,NFLX,,,94.89000,0.025949,1,-0.002085
89393,20160524,NFLX,,,97.89000,0.031616,1,0.013681
89393,20160525,NFLX,,,100.20000,0.023598,1,0.006975
89393,20160526,NFLX,,,102.81000,0.026048,1,-0.000210
89393,20160527,NFLX,,,103.30000,0.004766,1,0.004287
89393,20160531,NFLX,,,102.57000,-0.007067,1,-0.001000
89393,20160601,NFLX,,,101.51000,-0.010334,1,0.001130
89393,20160602,NFLX,,,101.25000,-0.002561,1,0.002825
89393,20160603,NFLX,,,99.59000,-0.016395,1,-0.002912
89393,20160606,NFLX,,,100.74000,0.011547,1,0.004897
89393,20160607,NFLX,,,99.89000,-0.008438,1,0.001289
89393,20160608,NFLX,,,97.86000,-0.020322,1,0.003309
89393,20160609,NFLX,,,97.09000,-0.007868,1,-0.001718
89393,20160610,NFLX,,,93.75000,-0.034401,1,-0.009175
89393,20160613,NFLX,,,93.85000,0.001067,1,-0.008115
89393,20160614,NFLX,,,94.12000,0.002877,1,-0.001799
89393,20160615,NFLX,,,94.29000,0.001806,1,-0.001841
89393,20160616,NFLX,,,95.44000,0.012196,1,0.003133
89393,20160617,NFLX,,,94.45000,-0.010373,1,-0.003258
89393,20160620,NFLX,,,93.80000,-0.006882,1,0.005808
89393,20160621,NFLX,,,90.99000,-0.029957,1,0.002712
89393,20160622,NFLX,,,90.01000,-0.010770,1,-0.001652
89393,20160623,NFLX,,,91.66000,0.018331,1,0.013364
89393,20160624,NFLX,,,88.44000,-0.035130,1,-0.035920
89393,20160627,NFLX,,,85.33000,-0.035165,1,-0.018097
89393,20160628,NFLX,,,87.97000,0.030939,1,0.017770
89393,20160629,NFLX,,,91.06000,0.035126,1,0.017033
89393,20160630,NFLX,,,91.48000,0.004612,1,0.013565
89393,20160701,NFLX,,,96.67000,0.056734,1,0.001949
89393,20160705,NFLX,,,97.91000,0.012827,1,-0.006848
89393,20160706,NFLX,,,94.60000,-0.033807,1,0.005353
89393,20160707,NFLX,,,95.10000,0.005285,1,-0.000872
89393,20160708,NFLX,,,97.06000,0.020610,1,0.015253
89393,20160711,NFLX,,,94.67000,-0.024624,1,0.003409
89393,20160712,NFLX,,,95.97000,0.013732,1,0.007009
89393,20160713,NFLX,,,96.43000,0.004793,1,0.000135
89393,20160714,NFLX,,,98.02000,0.016489,1,0.005259
89393,20160715,NFLX,,,98.39000,0.003775,1,-0.000929
89393,20160718,NFLX,,,98.81000,0.004269,1,0.002382
89393,20160719,NFLX,,,85.84000,-0.131262,1,-0.001435
89393,20160720,NFLX,,,87.91000,0.024115,1,0.004270
89393,20160721,NFLX,,,85.99000,-0.021841,1,-0.003612
89393,20160722,NFLX,,,85.89000,-0.001163,1,0.004554
