ID,Record,RT,Time,Stimulate,Fatigue,Hunger,busy(0)/light(1),illness,Sleep,Protocol,MEQ
24,4,0.444,,0,6,1,1,0,8,1,0
24,5,0.432,,0,3,1,0,0,8,1,0
24,6,0.471,,0,2,9,0,0,8,1,0
24,7,0.513,,0,7,1,0,0,8,1,0
24,8,0.444,,0,3,1,0,0,8,1,0
25,1,0.441,,0,2,4,1,0,8.5,1,0
25,2,0.457,,0,3,4,1,0,8.5,1,0
25,3,0.511,,0,5,5,1,0,8.5,1,0
25,4,0.591,,0,6,6,1,0,8.5,1,0
25,5,0.475,,0,4,5,0,0,6,1,0
25,6,0.432,,1,2,6,0,0,6,1,0
25,7,0.712,,0,7,3,0,0,6,0,0
25,8,0.501,,0,7,6,0,0,6,1,0
26,1,0.286,,0,2,6,1,0,7.5,1,1
26,2,0.501,,0,4,5,1,0,7.5,1,1
26,3,0.339,,0,5,6,1,0,7.5,1,1
26,4,0.541,,0,5,4,1,0,7.5,1,1
26,5,0.553,,0,3,5,0,0,8.17,1,1
26,6,0.34,,0,5,6,0,1,8.17,1,1
26,7,0.325,,0,4,7,0,1,8.17,1,1
26,8,0.418,,0,6,6,0,1,8.17,1,1
27,1,0.562,,0,3,3,0,0,10,1,-1
27,2,0.374,,0,2,7,0,0,10,1,-1
27,3,0.219,,0,1,3,0,0,10,1,-1
27,4,0.416,,0,5,5,0,0,10,1,-1
27,5,0.464,,0,4,4,1,0,8,1,-1
27,6,0.372,,0,3,3,1,0,8,1,-1
27,7,0.319,,0,1,5,1,0,8,1,-1
27,8,0.458,,0,6,4,1,0,8,1,-1
28,1,0.363,,0,4,4,0,0,,1,0
28,2,0.325,,1,3,3,0,0,,1,0
28,3,0.316,,0,2,4,0,0,,1,0
28,4,0.329,,0,4,5,0,0,,1,0
28,5,0.361,,0,4,5,1,0,,1,0
28,6,0.406,,0,5,6,1,0,,1,0
28,7,0.332,,1,4,6,1,0,,1,0
28,8,0.352,,0,5,5,1,0,,1,0
29,1,0.432,Wake up,0,7,6,0,0,,1,-1
29,2,0.502,5 hours,0,3,3,0,0,,1,-1
29,3,0.388,10hours,0,6,9,0,0,,1,-1
29,4,0.379,go to bed,0,4,1,0,0,,1,-1
29,5,0.356,wake up,0,7,6,1,0,,1,-1
29,6,0.387,5 hours,0,4,3,1,0,,1,-1
29,7,0.367,10hours,0,7,8,1,0,,1,-1
29,8,0.351,go to bed,0,5,2,1,0,,1,-1
30,1,0.422,,0,5,5,0,0,9.5,1,0
30,2,0.309,,0,1,6,0,0,9.5,1,0
30,3,0.431,,0,1,5,0,0,9.5,1,0
30,4,0.408,,0,4,4,0,0,9.5,1,0
30,5,0.513,,0,6,4,1,0,7,1,0
