ID,Record,RT,Time,Stimulate,Fatigue,Hunger,busyOrlight,illness,Sleep,Protocol,MEQ
32,4,,,,,,0,0,12,1,-1
32,5,0.42,11:15,0,4,3,1,0,8,1,-1
32,6,0.367,15:31,0,3,6,1,0,8,1,-1
32,7,0.391,19:40,0,3,4,1,0,8,1,-1
32,8,0.434,1:31,0,5,5,1,0,8,1,-1
33,1,0.377,9:59,0,3,5,0,0,6.75,0,0
33,2,0.385,14:21,1,3,4,0,0,6.75,1,0
33,3,0.361,20:35,1,3,9,0,0,6.75,1,0
33,4,0.344,2:25,1,5,5,0,0,6.75,1,0
33,5,0.444,8:43,0,5,4,1,0,6,1,0
33,6,0.356,14:00,1,3,4,1,0,6,1,0
33,7,,,,,,1,0,6,,0
33,8,0.419,12:46,1,5,4,1,0,6,1,0
34,1,0.48,8:34,0,5,5,1,1,,1,0
34,2,0.318,14:12,1,4,4,1,1,,1,0
34,3,,,,,,1,1,,0,0
34,4,0.292,23:56,0,6,5,1,1,,1,0
34,5,0.526,8:02,1,3,3,0,0,,1,0
34,6,0.369,13:23,0,1,3,0,0,,1,0
34,7,0.12,19:32,0,2,4,0,0,,1,0
34,8,,,,,,0,0,,0,0
35,1,0.452,8:45,0,4,4,1,0,7.7,1,0
35,2,0.388,13:00,0,3,7,1,0,7.7,1,0
35,3,0.385,16:00,0,3,5,1,0,7.7,1,0
35,4,0.459,0:35,0,5,5,1,0,7.7,1,0
35,5,0.432,8:27,0,5,4,0,0,7.2,1,0
35,6,0.374,13:00,0,2,7,0,0,7.2,1,0
35,7,0.386,16:00,0,3,5,0,0,7.2,1,0
35,8,0.488,1:00,0,6,4,0,0,7.2,1,0
36,1,0.362,9:30,0,5,3,0,0,5,1,0
36,2,0.347,13:30,0,5,5,0,0,5,1,0
36,3,0.362,19:30,1,5,6,0,0,5,1,0
36,4,0.364,23:30,0,4,5,0,0,5,1,0
36,5,0.326,7:30,0,2,4,1,0,9,1,0
36,6,0.313,11:30,1,2,4,1,0,9,1,0
36,7,0.313,17:30,0,4,5,1,0,9,1,0
36,8,0.324,21:30,0,5,4,1,0,9,1,0
37,1,0.365,10:23,0,3,6,1,0,7.5,1,-1
37,2,0.364,15:15,0,2,4,1,0,7.5,1,-1
37,3,0.411,20:30,0,4,7,1,0,7.5,1,-1
37,4,0.363,0:45,0,4,4,1,0,7.5,1,-1
37,5,0.413,11:00,0,4,3,0,0,8,1,-1
37,6,0.328,15:42,0,2,4,0,0,8,1,-1
37,7,0.354,20:59,0,3,6,0,0,8,1,-1
37,8,0.421,1:15,0,5,3,0,0,8,1,-1
38,1,0.355,11:45,0,3,5,0,0,8,,0
38,2,0.397,16:33,0,4,5,0,0,8,,0
38,3,0.416,21:29,0,5,4,0,0,8,,0
38,4,0.405,22:45,0,5,3,0,0,8,,0
38,5,0.46,0:00,0,5,4,1,0,8,,0
38,6,0.357,16:30,0,3,3,1,0,8,,0
38,7,0.49,12:00,0,4,8,1,0,8,,0
38,8,0.452,6:30,0,5,5,1,0,8,,0
39,1,0.303,11:02,0,5,3,0,0,8,,-1
39,2,0.249,15:08,0,4,5,0,0,8,,-1
39,3,0.23,20:21,0,1,5,0,0,8,,-1
39,4,0.299,1:49,0,5,6,0,0,8,,-1
39,5,0.269,10:50,0,4,3,1,0,7.5,,-1
39,6,0.304,14:28,0,3,6,1,0,7.5,,-1
39,7,0.255,19:43,0,2,6,1,0,7.5,,-1
39,8,0.367,23:29,0,3,5,1,0,7.5,,-1
